,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
596,福永电子产品c照配送员,深圳市领速物流供应链管理有限公司,10000.0,深圳·宝安区,1年,,民营,,金融/投资/证券,https://jobs.51job.com/shenzhen/143866389.html?s=sou_sou_soulb&t=0_0&req=c8ab29ff7f0d6d7093f7e5c8297dc27a,https://jobs.51job.com/all/coCWhVMFEzBDoCb1ExUzA.html
597,嵌入式开发工程师(C/C++)-车载,上海闻泰信息技术有限公司,10800.0,上海·普陀区,3-4年,本科,民营,1000-5000人,通信/电信/网络设备,https://jobs.51job.com/shanghai/144043371.html?s=sou_sou_soulb&t=0_0&req=4924ec68242ca619d6b4a0c7f7dcd246,https://jobs.51job.com/all/coA2BVNgJkU2tRNFY0VzA.html
598,HR C&B Specialist（薪酬福利专员）,嘉宏国际运输代理有限公司深圳分公司,11000.0,深圳·福田区,2年,大专,合资,500-1000人,交通/运输/物流,https://jobs.51job.com/shenzhen/85434146.html?s=sou_sou_soulb&t=0_0&req=3ec5b5b80849dbb04910c67e86283314,https://jobs.51job.com/all/coB2BSMlcyUmoEYABr.html
599,C端产品经理-番茄小说,字节跳动,12000.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/126240084.html?s=sou_sou_soulb&t=0_0&req=d56bf483b96eed08c6190907ecb028ea,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
600,ARM嵌入式开发,成都凌德科技有限公司,8500.0,成都·高新区,1年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/141167329.html?s=sou_sou_soulb&t=0_0&req=ab54ffb66ccf615dbfbcd77eb755e8f0,https://jobs.51job.com/all/coBmZcPF87AD4BZgFiAmE.html
601,珠三角急招C照货运司机,广州市润达物流有限公司,13500.0,广州·花都区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146838276.html?s=sou_sou_soulb&t=0_0&req=7273dad172830641c847d00a57dff3a0,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
602,嵌入式单片机开发工程师MUC/C/C++,上海风语筑文化科技股份有限公司,12500.0,上海,无需经验,大专,已上市,1000-5000人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/135125145.html?s=sou_sou_soulb&t=0_0&req=c3bff4886f7a8d21e897d04a6d19b83a,https://jobs.51job.com/all/coUjZTNgBiUm1RNVQzBWE.html
603,空运客服岗C,上海葵克国际货物运输代理有限公司,7500.0,上海·浦东新区,1年,大专,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shanghai/145073040.html?s=sou_sou_soulb&t=0_0&req=37385b8797fb18b99ee25cf60d868a9b,https://jobs.51job.com/all/coBmJVNF81BToDYAJgUDU.html
604,EQ Software Engineer,安波福（中国）科技研发有限公司,32500.0,苏州,3-4年,本科,外资（欧美）,500-1000人,,http://aptiv.51job.com/cv_easy/cv_log.html?jobid=142684411,http://aptiv.51job.com
605,手游服务端开发工程师,汉堂软件工程（上海）有限公司,11000.0,广州,1年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/guangzhou/141356213.html?s=sou_sou_soulb&t=0_0&req=08b8a9d09a4a0c8c07885974310513ec,https://jobs.51job.com/all/coUzYBYABjUW4DbgxrVjs.html
606,应用开发（C/C++）,上交所技术有限责任公司,32500.0,上海·浦东新区,3-4年,本科,国企,500-1000人,金融/投资/证券,https://jobs.51job.com/shanghai/146929947.html?s=sou_sou_soulb&t=0_0&req=1654f24c7feb3535608bddb3bed897ea,https://jobs.51job.com/all/coUjIHY1I0BT1UMgRgVjc.html
607,资深软件架构工程师,上海微电子装备（集团）股份有限公司,55000.0,上海·浦东新区,8-9年,本科,合资,1000-5000人,机械/设备/重工,https://jobs.51job.com/shanghai/129104708.html?s=sou_sou_soulb&t=0_0&req=76e0a8dedcc9efcfded3503be0185846,https://jobs.51job.com/all/coBmNdOF85BztWNQZg.html
