,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
4191,type-C连接器开发,深圳市信维通信股份有限公司,8750.0,常州·金坛区,3-4年,本科,已上市,10000人以上,通信/电信/网络设备,https://jobs.51job.com/changzhou/148311898.html?s=sou_sou_soulb&t=0_0&req=cfb2a756a04f1dc89c85edcb7ba2f8b1,https://jobs.51job.com/all/coBWJWNFcyUmgGZAFqUzM.html
4192,C/C++开发工程师,上海竣智信息技术有限公司,9000.0,成都·金牛区,2年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/chengdu/141437380.html?s=sou_sou_soulb&t=0_0&req=7e94d6c13d2f5bb3ecc9e891819d0797,https://jobs.51job.com/all/coVDAFYV46VWlSPwJgBms.html
4193,C/C++开发工程师,武汉虹信技术服务有限责任公司,8750.0,武汉·江夏区,3-4年,本科,国企,1000-5000人,计算机软件,https://jobs.51job.com/wuhan/148411355.html?s=sou_sou_soulb&t=0_0&req=b84106855bce646fb3e10aa26338389e,https://jobs.51job.com/all/coBWAHYQRiBzoBbVY1Uz8.html
4194,软件工程师（C/C++方向）,皇虎测试科技（深圳）有限公司,15000.0,深圳·南山区,2年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/shenzhen/147796552.html?s=sou_sou_soulb&t=0_0&req=c6de6b9f77170d346e1b14f64ccaac89,https://jobs.51job.com/all/coBmZWOlAzDjQAYFQ_XT0.html
4195,c/c++开发工程师,上海宝宏软件有限公司,11000.0,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/148315927.html?s=sou_sou_soulb&t=0_0&req=e1360d1397c766f10117fa49c498fa01,https://jobs.51job.com/all/coBmIFaQRhUm1SNQNiXTk.html
4196,CCD机器视觉检测调试员,陕西波特兰电子科技有限责任公司,6500.0,西安·浐灞生态区,2年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/xian/142752011.html?s=sou_sou_soulb&t=0_0&req=2c4e298be82f1eaafaa3ee106b70d0ef,https://jobs.51job.com/all/coAGQFaVQ_BDMEZg1qAG0.html
4197,C照面包车货运司机,重庆八匹马科技发展有限公司,6500.0,重庆·渝北区,1年,初中及以下,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/chongqing/140457139.html?s=sou_sou_soulb&t=0_0&req=6df088b982e09dbfccb133bff6201aa0,https://jobs.51job.com/all/coAWAHYQBiBD1VOVQ_BmI.html
4198,8500直招C证司机,摩顶新能源发展（云南）集团有限公司,10750.0,昆明·西山区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/kunming/145834430.html?s=sou_sou_soulb&t=0_0&req=41b767d711f119ad4804c3bc46de449f,https://jobs.51job.com/all/coBWUBYVI3U2oHYAFhBmc.html
4199,C&B Specialist,法中轨道交通运输设备（上海）有限公司,13500.0,上海·宝山区,3-4年,本科,外资（欧美）,150-500人,,https://jobs.51job.com/shanghai/147884491.html?s=sou_sou_soulb&t=0_0&req=726f1b9372e9ddc47e180683f58e28ef,https://jobs.51job.com/all/coB2ZcOgRjBDoAbFA1UD0.html
4200,C/C++软件工程师 ( 视景仿真）,南京乐飞航空技术有限公司,8500.0,南京·鼓楼区,1年,本科,民营,少于50人,航天/航空,https://jobs.51job.com/nanjing/121244405.html?s=sou_sou_soulb&t=0_0&req=719dc1683d2759a6e94c580e1fc476ed,https://jobs.51job.com/all/coVjJQMlc3BThVOABrUzE.html
